id,aggregated_rating,aggregated_rating_count,category,first_release_date,name,platforms/0,platforms/1,platforms/2,popularity,rating,rating_count,total_rating_count,platforms/3,platforms/4,platforms/5,platforms/6,platforms/7,platforms/8,platforms/9,platforms/10,hypes
119,84.8333333333333,9,0,1303171200,Mortal Kombat,9,12,46,6.272076715511433,83.9407292238484,139,148,,,,,,,,,
81899,,,0,,Mortal Kombat & Mortal Kombat II,,,,1,,,,,,,,,,,,
16130,,,1,1429142400,Mortal Kombat X - Kombat Pack,6,12,48,1,,,,,,,,,,,,
16131,,,1,,Mortal Kombat X - Kombat Pack 2,,,,1,,,,,,,,,,,,
1612,70,3,0,1037404800,Mortal Kombat: Deadly Alliance,8,11,21,1.842423591523421,62.2585172578639,27,30,24,,,,,,,,
1619,,,0,733622400,Mortal Kombat II,9,13,16,3.737847668736451,75.74804761233639,106,106,19,29,30,32,33,35,52,64,
1613,76.6666666666667,4,0,1096848000,Mortal Kombat: Deception,8,11,21,2.474241285165988,70.85582098379619,33,37,38,,,,,,,,
1615,,,0,1163376000,Mortal Kombat: Unchained,38,,,1,60.4721134612958,6,6,,,,,,,,,
70446,,,0,,Kombat Kars,,,,1.647899711648724,,,,,,,,,,,,
19832,54,3,3,1296518400,Mortal Kombat Arcade Kollection,6,9,12,1.656587639047411,,,3,,,,,,,,,
73326,,,0,,Pong Kombat,,,,1,,,,,,,,,,,,
1618,83.3333333333333,0,0,712713600,Mortal Kombat,13,16,19,4.796395791042838,66.46861101767959,104,104,29,33,35,52,64,78,,,
70510,,,0,,Mental Kombat,,,,1,,,,,,,,,,,,
58686,,,0,,Science Kombat,,,,1,,,,,,,,,,,,
74757,,,0,,Kigurumi Kombat,,,,1,,,,,,,,,,,,
1620,50,1,0,797904000,Mortal Kombat 3,7,13,19,2.895433001432928,76.5135760970706,61,62,29,33,35,52,64,,,,
1622,,,0,876873600,Mortal Kombat 4,4,6,7,2.26662705822441,71.2175003980464,59,59,22,23,33,52,,,,,
112916,,,0,1555977600,Mortal Kombat 11,6,48,49,64.89756979199856,,,,130,,,,,,,,7
7292,84.3888888888889,21,0,1428364800,Mortal Kombat X,6,34,39,8.612915279570624,81.1766792637697,147,168,48,49,,,,,,,18
45155,,,0,939340800,Mortal Kombat Gold,23,,,1.647899711648724,,,,,,,,,,,,
45156,,,0,1010793600,Mortal Kombat Advance,24,,,1,,,,,,,,,,,,
4121,50.5,1,0,841536000,Mortal Kombat Trilogy,4,6,7,1.419815836065296,77.6437375371653,31,32,32,,,,,,,,
24214,80,1,1,,Mortal Kombat X' Tremor,,,,1,,,1,,,,,,,,,
77992,,,0,,Mortal Kombat X Mobile,,,,1,,,,,,,,,,,,
43251,,,0,1225238400,Mortal Kombat Kollection,8,,,2.67997679154356,,,,,,,,,,,,
27889,,,1,1456790400,Mortal Kombat X - Alien,48,49,,1,,,,,,,,,,,,
45157,,,0,,Mortal Kombat II Special,,,,1,,,,,,,,,,,,
1616,73.3333333333333,4,0,1160524800,Mortal Kombat: Armageddon,5,8,11,1.843532274481829,78.7491048791633,36,40,,,,,,,,,
27887,,,1,1456790400,Mortal Kombat X - Triborg,48,49,,1,,,,,,,,,,,,
1621,60,1,0,812505600,Ultimate Mortal Kombat 3,6,19,24,3.109108772801576,81.8124919412505,48,49,29,32,36,39,45,52,,,
39336,,,0,759542400,Aggressors of Dark Kombat,52,79,80,1,,,,136,,,,,,,,
45152,,,0,,Mortal Kombat II Unlimited,,,,1,,,,,,,,,,,,
24215,75,1,1,,Mortal Kombat X - Predator,,,,1,,,1,,,,,,,,,1
45154,,,0,,Mortal Kombat Revelations,,,,1,,,,,,,,,,,,
1614,74,3,0,1126828800,Mortal Kombat: Shaolin Monks,8,11,,1.41860609603529,69.55561106874809,27,30,,,,,,,,,
1623,,,0,962323200,Mortal Kombat: Special Forces,7,,,1.41999419788589,,,,,,,,,,,,
1617,77.1428571428571,9,0,1226793600,Mortal Kombat vs. DC Universe,9,12,,2.469979692600615,61.94661075138779,23,32,,,,,,,,,
45153,,,0,,Ultimate Mortal Kombat Trilogy,,,,1,,,,,,,,,,,,
53367,,,0,,Mortal Kombat X Premium Edition,,,,1,,,,,,,,,,,,
44618,,,0,1317254400,Mortal Kombat HD Arcade Kollection,9,,,1,,,,,,,,,,,,
26635,,,0,1061769600,Mortal Kombat: Tournament Edition,24,,,1,,,,,,,,,,,,
1610,,,0,875664000,Mortal Kombat Mythologies: Sub-Zero,4,7,,1.41999419788589,52.8781245038909,12,12,,,,,,,,,
45150,,,0,,Mortal Kombat X Kollector's Edition,,,,1,,,,,,,,,,,,
37884,,,0,915148800,Mortal Kombat Mythologies: Gold 2000,19,,,1.417990013679121,,,,,,,,,,,,
24213,80,1,1,,Mortal Kombat X' Jason Voorhees & Horror,,,,1,,,1,,,,,,,,,
45151,,,0,,Mortal Kombat: Deception - Kollector's Edition,,,,1,,,,,,,,,,,,
23793,70,1,0,1163030400,Mortal Kombat: Armageddon (Premium Edition),8,,,1,,,1,,,,,,,,,
43005,,,0,1229299200,Mortal Kombat vs. DC Universe Kollector's Edition,9,,,1,,,,,,,,,,,,
